id,username,text,keywords,date,location
1189518523829248007,lorenamanca1,Ecco chi è il cane eroe che ha stanato Al Baghdadi a cui il presidente Trump ha reso onore su Twitter https://t.co/BFVRPr3Kh2 via @LaStampa 💕😍,['trump'],2019-10-30 12:24:50,
1189444504555872256,flaydown,"@hatanticieli ""alla prossima foto che posta la signora Cuccurullo dubiterò seriamente della mia eterosessualità"".
(Cit. Melania Trump).
Confermo: sei troppo bella.. 😱",['trump'],2019-10-30 07:30:43,
1189456729261727744,ilsestosanso,@SePacem @realDonaldTrump Dimmi pure.,['trump'],2019-10-30 08:19:17,
1189507935166259200,LucaLagana,"La “cura” Trump funziona, 900 cliniche senza fondi - Corrispondenza romana https://t.co/g6JhUooE4Z",['trump'],2019-10-30 11:42:46,
1189609833743486977,MPenikas,@steal61 @mondofluttuante @MarceVann @nicorst @LupodiBrughiera @valy_s @cris_cersei @Andyesti @marioerdrago @_kuball_ @GiuseppeConteIT @GeorgePapa19 @simonamangiante L'hanno preso per i fondelli sia i Dems che i Repugs e specialmente quelli vicino a Trump ... la Sanders fu epica su Papakaz,['trump'],2019-10-30 18:27:40,
1189438552947515393,SePacem,"@VP @realDonaldTrump È un onore sostenere i veterani Mr.Pence, ma è un peccato stare al fianco del terrorista come Ferhat Abdi Sahin, il cosiddetto Mazlum Kobane, il capo terrorista dell'YPG. 
#YPGisPKK",['trump'],2019-10-30 07:07:04,
1189635947060781060,eccapecca,"Niente, non è stato neanche il cane. 🧐

#Trump #Bagdadi #Baghdadi #BaghdadiDiedLikeADog 

https://t.co/0f0hOZa4kx",['trump'],2019-10-30 20:11:26,World
1189407560652197888,Michael09473955,@realDonaldTrump Compete. Utter. Nonsense.,['trump'],2019-10-30 05:03:55,
1189593353199017989,EdoardoMontice1,"@bravimabasta Fanno come Trump, si inventano una guerra pur di confondere l'elettorato.",['trump'],2019-10-30 17:22:11,"Cerreto d'Esi, Marche"
1189491704145072129,pietrofrigo,Di male in peggio per #Trump https://t.co/h2XF9gwui9,['trump'],2019-10-30 10:38:16,Italia
1189619073174425603,ge_aldrig_upp,"You read it here first.

- Gabbard rimane in corsa fino a giugno '20 e arriva al 7/8%  tipo Kucinich nel '04
- Si candida alle presidenziali come terzo partito
- Toglie abbastanza voti ai democratici da perdere gli stati chiave
- Trump viene rieletto

https://t.co/czwmUFm946",['trump'],2019-10-30 19:04:23,"Vicenza, Italy"
1189632481173131264,ItaloLeone6,"#Trump 
#Brexit
#Cambridgeanalitica
#Zuckerberg
#Facebook

Cosa li lega?

https://t.co/qZ4EJmKHAR",['trump'],2019-10-30 19:57:40,Fvg
1189449616519041024,Agenpress,"Usa. Il New York Times rivela, incompleta la trascrizione della telefonata Trump-Zelensky https://t.co/GzhGOTHHe8 Agenpress -  Secondo quanto ripor... https://t.co/ogiMszTw0W",['trump'],2019-10-30 07:51:02,
1189658972468502534,Rainbowit66,"#fuoridalcoro Giordano per fare pagare le tasse a Google,Facebook,Amazon,etc occorre accordo internazionale altrimenti scappano nei paesi che hanno tasse ancora piu'basse. E devi convincere  anche il tuo amico sovranista Trump",['trump'],2019-10-30 21:42:56,
1189662305623191552,evavola,@Safety70227963 Ti basti guardare le facce dei due 'liberals'. Aggrediscono verbalmente un supporter di Trump e vengono sbarcati tra gli applausi generali 😬 https://t.co/f0LjT1x71i,['trump'],2019-10-30 21:56:11,
1189665895137890304,profondo,"@MarisaFerrari20 Avvertite Trump, così se lo tengono loro",['trump'],2019-10-30 22:10:26,"Città di Castello, Umbria"
1189578870191730688,PaoloBorg,"Trump si è complimentato con Conan, l'eroico cane femmina (con nome maschio) che ha permesso di arrivare a Al Baghdadi grazie a un frammento delle sue mutande e si è ferita nella missione.
Poi ha detto che Al Baghdadi è morto come un cane.
Ma credo questo sia un insulto",['trump'],2019-10-30 16:24:38,Milano
1189440136855072769,cettabone,Comunione negata all’abortista Joe Biden. Alcune considerazioni https://t.co/1wUkClLNvr,['biden'],2019-10-30 07:13:22,
1189575302269284358,Hwoiwandertobe,@realDonaldTrump Hai cacatu la minchia 😚,['trump'],2019-10-30 16:10:27,
1189514316258697217,chiamaluca,"L'idea nazionalista #Leghista
è anti Europea
un suicidio economico (dimostrato dall' Inghilterra)
ed è condizionata alla sudditanza del paese
alla Russia e a #trump entrambi dittatori
Quale governo vuole 'trattare' con dittatori
se non un governo che ne sposa gli stessi ideali?",['trump'],2019-10-30 12:08:07,Florence
1189648350171336704,radioromalibera,"📻 La “cura” Trump funziona, 900 cliniche senza fondi ---&gt;  https://t.co/hKArU9kv0l #radioromalibera https://t.co/hZVtsLyZwe",['trump'],2019-10-30 21:00:43,
1189554138616651777,giuliabottini,"Il Fatto Quotidiano: Al-Baghdadi, i dem attaccano Trump. ""Ha informato i russi e non il ....
https://t.co/AhoHNQLQQ2

tramite @GoogleNews",['trump'],2019-10-30 14:46:22,
1189539035611578369,tommyrulznyc,@HuXijin_GT “FAKE NEWS!   1.9 x 4 quarters = 7.6%!!!”—-@realDonaldTrump,['trump'],2019-10-30 13:46:21, Socially Distant 😷
1189447774691086336,TerrinoniL,"Trump cerca alleati nella guerra per il 5G, ma l’Europa è divisa in due

https://t.co/qFRKez9gjz",['trump'],2019-10-30 07:43:43,
1189533960344236034,springsteen1949,"[News]Bruce Springsteen contro Donald Trump: ""è corrotto fino al midollo"" - R3M https://t.co/pyl0QGTgrT In una recente intervista per la CBS, Bruce Springsteen si è scagliato contro Donald Trump, che aveva già parlato male di lui e altri artisti in un comizio． https://t.co/CYo0RMbOxM",['trump'],2019-10-30 13:26:11,Japan
